,RMSE,MAE
0,56.030272876713084,46.97229653761383
1,478.63005141855507,395.1586719919219
2,35.06094596884287,28.258530925792343
3,190.96470111786337,161.64881385122374
4,313.999141841658,266.4131893161755
5,388.3895652313696,366.96457765865074
6,230.77482201917616,207.83011715243492
7,634.1111198469148,518.7728918200942
8,56.37533063878075,43.000525778246356
9,40.24546882454319,27.86927966909076
10,90.469647903394,83.6155943705005
11,66.66412552543194,53.31628119187269
12,276.5402918394824,248.03796867879805
13,529.7212698374476,516.1181226059603
14,580.5746060578126,569.8002833024166
15,52.90640962221244,41.88208845769202
16,75.7909172267227,61.20438336005941
17,90.35134819142844,74.2139830103755
18,433.31846463086606,411.3640427218868
19,57.97973993993069,51.62680643055404
20,64.99446535153858,60.73256200416006
21,158.14632823401894,149.32380433981416
22,224.7149320311241,203.61679208773376
23,326.706748049388,281.01335267079253
24,175.8318090412448,131.69316775602545
25,89.59157812836425,65.32252261313408
26,174.27574728175293,134.06900399521987
27,91.97861969518027,56.011779480368546
28,27.61786696306771,25.128307476893013
29,546.6952073301056,529.4967387665738
30,29.170978558970123,26.901751983426436
31,944.2104295333216,711.046764971059
32,58.99133845227361,51.786456178974106
33,326.08288749506187,287.0714232596015
34,256.175327224029,251.61385110276774
35,101.4855094337821,84.00252136276333
36,204.800388024873,149.9380356486878
37,75.42627514988841,66.84309421304573
38,84.565742254735,81.06615797559698
39,139.173812221813,117.83328946112783
40,80.16506515011297,69.74361926157371
41,37.99679540952827,30.46843064608376
42,667.0624378565648,532.3218738515573
43,151.21420852866902,127.13080843666307
44,847.7754418547754,747.3813200009436
45,62.376765064942695,48.25870123874989
46,266.8051040113658,248.51995584780343
47,77.60791832048876,66.85835726972118
48,142.67490699525595,126.45082645220214
49,31.19242365697749,21.883842089354573
50,109.04171472347069,103.57667762588846
51,211.11196230637523,159.4669085832279
52,81.92732117939146,64.5828335933843
53,556.4891346291778,361.5906739878976
54,153.79720066078815,133.4704946833383
55,580.7353731112338,519.9031652027818
56,439.19624004723886,348.63587186023165
57,81.17408387880073,70.59091901603477
58,57.24195676147813,48.214726904549536
59,559.0678973660304,331.5361598813565
60,132.12835557675544,111.07944959300039
61,101.81676319320945,80.91264630667547
62,373.50075418775106,330.6870516394199
63,399.1967277895957,331.3319100944989
64,137.16584023905605,109.70426685096459
65,564.108528809147,488.2146998694416
66,140.70718567267957,137.05779789582698
67,73.85878660397535,58.07699746759738
68,692.3501486838906,600.3176456537849
69,148.6360045781516,106.80990711072343
70,101.29745149707941,83.72719594496004
71,58.94547906114555,52.21902750421273
