,Postal code,Building type,2020Q1 Price per square meter (EUR/m2),2020Q2 Price per square meter (EUR/m2),2020Q3 Price per square meter (EUR/m2),2020Q4 Price per square meter (EUR/m2),2021Q1* Price per square meter (EUR/m2),2021Q2* Price per square meter (EUR/m2),label6,label8,label10,Location
384,00810,"Blocks of flats, one-room flat",5975.625,6021.75,6067.875,6114.0,6114.0,6114.0,3,3,5,Herttoniemi   (Helsinki )
390,00820,"Blocks of flats, one-room flat",4593.0,4593.0,4593.0,4593.0,4593.0,4593.0,3,3,3,Roihuvuori   (Helsinki )
402,00840,"Blocks of flats, one-room flat",4762.75,4734.833333333333,4706.916666666667,4679.0,4744.0,4294.0,3,3,3,Laajasalo   (Helsinki )
426,00900,"Blocks of flats, one-room flat",4257.0,4257.0,4257.0,4257.0,4257.0,4257.0,3,3,3,Puotinharju   (Helsinki )
432,00910,"Blocks of flats, one-room flat",4486.25,4521.4375,4556.625,4591.8125,4627.0,4627.0,3,3,3,Puotila   (Helsinki )
438,00920,"Blocks of flats, one-room flat",3883.0,3883.0,3883.0,3883.0,3883.0,3883.0,2,1,1,Myllypuro   (Helsinki )
450,00940,"Blocks of flats, one-room flat",3247.0,3334.5,3422.0,3509.5,3597.0,3597.0,2,1,1,Kontula - Vesala   (Helsinki )
462,00960,"Blocks of flats, one-room flat",4175.615384615385,4232.307692307692,4289.0,4289.0,4289.0,4289.0,3,3,3,Pohjois-Vuosaari   (Helsinki )
468,00970,"Blocks of flats, one-room flat",3978.0,3999.6666666666665,4021.3333333333335,4043.0,4043.0,4043.0,2,1,1,Mellunmäki   (Helsinki )
474,00980,"Blocks of flats, one-room flat",4169.692307692308,4190.461538461538,4211.2307692307695,4232.0,4141.0,4141.0,2,1,1,Etelä-Vuosaari   (Helsinki )
480,00990,"Blocks of flats, one-room flat",5413.0,5413.0,5413.0,5413.0,5413.0,5413.0,3,3,5,Aurinkolahti   (Helsinki )
498,01200,"Blocks of flats, one-room flat",2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,0,4,4,Hakunila   (Vantaa )
516,01280,"Blocks of flats, one-room flat",2833.0714285714284,2819.0,2819.0,2819.0,2819.0,2819.0,0,4,4,Länsimäki   (Vantaa )
522,01300,"Blocks of flats, one-room flat",5368.0,4694.0,4714.0,4039.0,5819.0,5427.0,3,3,3,Tikkurila   (Vantaa )
534,01350,"Blocks of flats, one-room flat",3619.0,3736.0,3853.0,4057.0,3897.0,3774.0,2,1,1,Hiekkaharju   (Vantaa )
540,01360,"Blocks of flats, one-room flat",2629.0,2630.0,2917.0,2706.0,2594.0,2826.0,0,4,4,Koivukylä-Havukoski   (Vantaa )
564,01400,"Blocks of flats, one-room flat",,,,,4661.0,4661.0,3,3,3,Rekola   (Vantaa )
576,01450,"Blocks of flats, one-room flat",3041.0,3041.0,3041.0,3041.0,3041.0,3041.0,0,4,4,Korso   (Vantaa )
582,01480,"Blocks of flats, one-room flat",2886.0,2919.6666666666665,2953.3333333333335,2987.0,2987.0,2987.0,0,4,4,Mikkola   (Vantaa )
612,01600,"Blocks of flats, one-room flat",3929.0,3565.0,3711.0,3857.0,4003.0,4149.0,2,1,1,Myyrmäki   (Vantaa )
618,01610,"Blocks of flats, one-room flat",2874.0,2874.0,2874.0,2874.0,2874.0,2874.0,0,4,4,Kaivoksela   (Vantaa )
624,01620,"Blocks of flats, one-room flat",3442.0,3505.0,3568.0,3631.0,3694.0,3757.0,2,1,1,Martinlaakso   (Vantaa )
642,01650,"Blocks of flats, one-room flat",2724.0,2724.0,2724.0,2724.0,2724.0,2724.0,0,4,4,Vapaala   (Vantaa )
672,01700,"Blocks of flats, one-room flat",,5107.0,5144.0,5106.0,5084.5,5063.0,3,3,3,Kivistö   (Vantaa )
678,01710,"Blocks of flats, one-room flat",3381.0,3381.0,3381.0,3381.0,3381.0,3381.0,2,1,1,Pähkinärinne   (Vantaa )
708,01800,"Blocks of flats, one-room flat",,,,,,2963.0,0,4,4,Klaukkala Keskus   (Nurmijärvi )
738,01900,"Blocks of flats, one-room flat",1614.7142857142858,1584.142857142857,1553.5714285714284,1523.0,1523.0,1523.0,1,2,2,Nurmijärvi Keskus   (Nurmijärvi )
750,02100,"Blocks of flats, one-room flat",6361.0,7604.0,7604.0,7604.0,7604.0,7604.0,5,5,9,Tapiola   (Espoo )
762,02120,"Blocks of flats, one-room flat",4522.0,4522.0,4522.0,4522.0,4522.0,4522.0,3,3,3,Länsikorkee-Suvikumpu   (Espoo )
792,02170,"Blocks of flats, one-room flat",5408.0,5408.0,5408.0,5408.0,5408.0,5408.0,3,3,5,Haukilahti   (Espoo )
804,02200,"Blocks of flats, one-room flat",5118.666666666667,5140.111111111111,5161.555555555556,5183.0,6057.0,6057.0,3,3,5,Niittykumpu   (Espoo )
810,02210,"Blocks of flats, one-room flat",4162.0,4236.0,4253.0,4307.0,4361.0,4361.0,3,3,3,Olari   (Espoo )
816,02230,"Blocks of flats, one-room flat",4824.0,4688.0,4536.0,4898.5,5261.0,5261.0,3,3,3,Matinkylä   (Espoo )
858,02320,"Blocks of flats, one-room flat",3800.0,3914.0,3656.0,3624.0,4195.0,4288.0,2,1,1,Espoonlahti   (Espoo )
864,02330,"Blocks of flats, one-room flat",,,,,5010.0,5010.0,3,3,3,Saunalahti-Kattilalaakso   (Espoo )
876,02360,"Blocks of flats, one-room flat",3987.7368421052633,4011.157894736842,4034.5789473684213,4058.0,4058.0,4058.0,2,1,1,Soukka   (Espoo )
894,02400,"Blocks of flats, one-room flat",2617.0,2617.0,2617.0,2617.0,2617.0,2617.0,0,4,4,Kirkkonummi Keskus   (Kirkkonummi )
900,02410,"Blocks of flats, one-room flat",2069.0,2069.0,2069.0,2069.0,2069.0,2069.0,1,7,8,Gesterby   (Kirkkonummi )
984,02600,"Blocks of flats, one-room flat",4932.928571428572,5020.142857142857,5107.357142857143,5194.571428571428,5281.785714285714,5369.0,3,3,5,Etelä-Leppävaara   (Espoo )
996,02620,"Blocks of flats, one-room flat",3592.0,3592.0,3592.0,3592.0,3592.0,3592.0,2,1,1,Karakallio   (Espoo )
1008,02650,"Blocks of flats, one-room flat",4660.2,4808.8,4957.4,5106.0,4949.0,4949.0,3,3,3,Pohjois-Leppävaara   (Espoo )
1026,02700,"Blocks of flats, one-room flat",4724.2,4787.8,4851.4,4915.0,4915.0,4915.0,3,3,3,Kauniainen   (Kauniainen )
1038,02720,"Blocks of flats, one-room flat",3416.6666666666665,3594.0,3594.0,3594.0,3594.0,3594.0,2,1,1,Lähderanta   (Espoo )
1056,02750,"Blocks of flats, one-room flat",4401.0,4401.0,4401.0,4401.0,4401.0,4401.0,3,3,3,Sepänkylä-Kuurinniitty   (Espoo )
1062,02760,"Blocks of flats, one-room flat",3094.0,3150.3333333333335,3206.6666666666665,3263.0,2877.5,2492.0,0,4,4,Tuomarila-Suvela   (Espoo )
1068,02770,"Blocks of flats, one-room flat",4016.6666666666665,4037.0,4057.3333333333335,4077.6666666666665,4098.0,4098.0,2,1,1,Espoon Keskus   (Espoo )
1128,03100,"Blocks of flats, one-room flat",2655.0,2655.0,2655.0,2655.0,2655.0,2655.0,0,4,4,Nummela   (Vihti )
1158,03400,"Blocks of flats, one-room flat",1632.0,1632.0,1632.0,1632.0,1632.0,1632.0,1,2,2,Vihti Kirkonkylä   (Vihti )
1164,03600,"Blocks of flats, one-room flat",1506.0,1506.0,1506.0,1506.0,1506.0,1506.0,1,2,2,Karkkila Keskus   (Karkkila )
1194,04200,"Blocks of flats, one-room flat",2659.3333333333335,2565.6666666666665,2472.0,3113.0,3158.0,3203.0,0,4,4,Kerava Keskus   (Kerava )
1206,04230,"Blocks of flats, one-room flat",2821.0,2821.0,2821.0,2821.0,2821.0,2821.0,0,4,4,Pihkaniitty   (Kerava )
1224,04260,"Blocks of flats, one-room flat",2539.0,2539.0,2539.0,2539.0,2539.0,2539.0,0,4,4,Savio   (Kerava )
1230,04300,"Blocks of flats, one-room flat",2756.0,2756.0,2756.0,2756.0,2756.0,2756.0,0,4,4,Hyrylä   (Tuusula )
1278,04400,"Blocks of flats, one-room flat",3327.0,3528.0,3357.0,2972.0,3452.0,3700.0,2,1,1,Loutti   (Järvenpää )
1284,04410,"Blocks of flats, one-room flat",2439.777777777778,2409.3888888888887,2379.0,2979.0,2985.0,2985.0,0,4,4,Järvenpää Keskus   (Järvenpää )
1302,04440,"Blocks of flats, one-room flat",2654.0,2654.0,2654.0,2654.0,2654.0,2654.0,0,4,4,Jamppa   (Järvenpää )
1326,04600,"Blocks of flats, one-room flat",,2936.0,2936.0,2936.0,2936.0,2936.0,0,4,4,Mäntsälä Keskus   (Mäntsälä )
1368,05200,"Blocks of flats, one-room flat",,,,,1527.0,1527.0,1,2,2,Rajamäki   (Nurmijärvi )
1422,05800,"Blocks of flats, one-room flat",2321.0,2259.3333333333335,2197.6666666666665,2136.0,2278.0,2278.0,0,4,4,Hyvinkää Keskus   (Hyvinkää )
1428,05810,"Blocks of flats, one-room flat",3215.0,3215.0,3215.0,3215.0,3215.0,3215.0,2,1,1,Martti   (Hyvinkää )
1440,05830,"Blocks of flats, one-room flat",1982.0,1964.5,1947.0,1947.0,1947.0,1947.0,1,7,7,Kirjavatolppa-Kruununpuisto   (Hyvinkää )
1458,05880,"Blocks of flats, one-room flat",1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1,2,2,Paavola-Vaivero   (Hyvinkää )
1464,05900,"Blocks of flats, one-room flat",2597.0,2597.0,2597.0,2597.0,2597.0,2597.0,0,4,4,Vieremä   (Hyvinkää )
1470,06100,"Blocks of flats, one-room flat",3449.0,3348.0,3129.0,3306.0,3540.0,3607.0,2,1,1,Porvoo Keskus   (Porvoo )
1476,06150,"Blocks of flats, one-room flat",2409.0,2409.0,2409.0,2409.0,2409.0,2409.0,0,4,4,Kevätkumpu   (Porvoo )
1662,07900,"Blocks of flats, one-room flat",1741.0,1741.0,1741.0,1741.0,1741.0,1741.0,1,2,2,Loviisa Keskus   (Loviisa )
1686,07940,"Blocks of flats, one-room flat",,,,787.0,787.0,787.0,4,6,6,Määrlahti   (Loviisa )
1710,08100,"Blocks of flats, one-room flat",2507.0,2601.0,2125.0,2323.0,2323.0,2323.0,0,4,4,Lohja Keskus   (Lohja )
1752,08700,"Blocks of flats, one-room flat",1701.0,1701.0,1701.0,1701.0,1701.0,1701.0,1,2,2,Virkkala   (Lohja )
1806,10300,"Blocks of flats, one-room flat",1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1,2,2,Karjaa Keskus   (Raasepori )
1884,10650,"Blocks of flats, one-room flat",1243.0,1243.0,1243.0,1243.0,1243.0,1243.0,4,0,0,Flyet   (Raasepori )
1914,10900,"Blocks of flats, one-room flat",2102.0,2102.0,2102.0,2102.0,2102.0,2102.0,1,7,8,Hanko Keskus   (Hanko )
1932,11100,"Blocks of flats, one-room flat",1613.8235294117646,1601.1176470588234,1588.4117647058824,1575.7058823529412,1563.0,1563.0,1,2,2,Riihimäki Keskus   (Riihimäki )
1944,11130,"Blocks of flats, one-room flat",1371.0,1371.0,1371.0,1371.0,1371.0,1371.0,1,2,2,Peltosaari-Patastenmäki   (Riihimäki )
2028,13100,"Blocks of flats, one-room flat",2246.0,1996.0,2280.0,2519.0,2484.0,2656.0,0,4,4,Hämeenlinna Keskus   (Hämeenlinna )
2040,13130,"Blocks of flats, one-room flat",1879.6,1774.0,1836.5,1899.0,2088.0,2277.0,1,7,8,Kauriala   (Hämeenlinna )
