,0,1,2,3,4,5
2010-01-01,2180.2083333333335,1553.5,2639.4285714285716,3107.923076923077,1064.0,4900.714285714285
2010-04-01,2166.35,1482.1818181818182,2742.8,3292.923076923077,1182.357142857143,4994.818181818182
2010-07-01,2209.5555555555557,1595.076923076923,2670.3,3382.25,984.625,5038.533333333334
2010-10-01,2312.45,1665.2,2828.125,3232.6363636363635,1050.8181818181818,4960.714285714285
2011-01-01,2187.0,1718.090909090909,2756.8,3387.4444444444443,1099.3333333333333,5218.214285714285
2011-04-01,2364.0,1705.4615384615386,2806.923076923077,3486.4117647058824,1085.857142857143,5517.166666666667
2011-07-01,2353.9565217391305,1703.1333333333334,2871.2727272727275,3542.923076923077,1142.6153846153845,5364.285714285715
2011-10-01,2302.5714285714284,1570.2,2987.875,3512.3571428571427,972.625,5196.4375
2012-01-01,2405.0625,1727.0,2919.8,3480.3636363636365,1030.0,5350.076923076923
2012-04-01,2402.35,1695.7272727272727,3023.0,3496.75,1171.1538461538462,5550.0
2012-07-01,2308.8387096774195,1832.3846153846155,3024.9444444444443,3592.0,1238.0833333333333,5587.764705882353
2012-10-01,2414.12,1728.6315789473683,3079.9473684210525,3779.0,1068.9545454545455,5484.631578947368
2013-01-01,2304.6666666666665,1484.8,2700.6666666666665,3579.1666666666665,1143.6666666666667,5776.307692307692
2013-04-01,2402.214285714286,1828.375,2901.375,3722.181818181818,1123.0,6005.307692307692
2013-07-01,2403.6470588235293,1618.5714285714287,3066.769230769231,3791.75,1119.090909090909,5996.666666666667
2013-10-01,2503.7272727272725,1880.125,2978.0,3639.1428571428573,1036.0,6025.846153846154
2014-01-01,2518.05,1681.0,3258.6666666666665,3972.25,1029.2222222222222,6099.538461538462
2014-04-01,2549.846153846154,1553.0,3255.5714285714284,3814.0,1060.9,6062.25
2014-07-01,2402.4375,1750.6,3425.375,3765.846153846154,1184.2857142857142,6122.2307692307695
2014-10-01,2219.181818181818,1790.7272727272727,3070.375,3851.2727272727275,1099.6666666666667,5899.785714285715
2015-01-01,2367.9285714285716,1753.0,3187.1111111111113,4138.705882352941,973.5,6195.5625
2015-04-01,2541.157894736842,1750.2,3287.6666666666665,3965.4444444444443,1270.2,6150.0625
2015-07-01,2502.423076923077,1699.090909090909,3254.6923076923076,3953.2,1066.9166666666667,6265.846153846154
2015-10-01,2457.9375,1581.2727272727273,3352.1,3883.4545454545455,1230.2222222222222,6166.4375
2016-01-01,2433.785714285714,1611.6,3389.285714285714,3987.125,1243.0,6328.071428571428
2016-04-01,2498.3125,1696.6363636363637,3160.818181818182,4061.6363636363635,1108.7,6413.363636363636
2016-07-01,2548.5384615384614,1631.0,3375.3,4098.666666666667,983.125,6529.272727272727
2016-10-01,2500.6153846153848,1851.2727272727273,3271.4285714285716,4078.777777777778,1199.2222222222222,6636.083333333333
2017-01-01,2465.0625,1689.8333333333333,3289.7272727272725,3926.0714285714284,1067.923076923077,6869.5
2017-04-01,2465.176470588235,1654.8333333333333,3343.6,4260.909090909091,1088.75,6894.833333333333
2017-07-01,2502.714285714286,1826.5,3395.1111111111113,3913.777777777778,1162.3333333333333,6945.5
2017-10-01,2771.777777777778,1743.8,3138.1428571428573,4133.428571428572,1082.6,6478.666666666667
2018-01-01,2550.4615384615386,2008.2222222222222,3257.4,4063.6666666666665,1116.142857142857,7196.0
2018-04-01,2734.769230769231,1885.0,3468.75,4206.125,726.8,6972.166666666667
2018-07-01,2524.5,1702.875,3511.5714285714284,4198.888888888889,1251.1666666666667,7199.3
2018-10-01,2598.4166666666665,1943.7777777777778,3299.222222222222,4562.5,1049.8333333333333,7198.6
2019-01-01,2383.769230769231,1837.8,3256.1428571428573,4320.0,940.0,7486.692307692308
2019-04-01,2550.8888888888887,1909.6,3692.4,4515.888888888889,1078.0,7515.818181818182
2019-07-01,2602.4375,1911.7777777777778,3216.3333333333335,4429.4,902.3333333333334,7355.461538461538
2019-10-01,2472.3571428571427,1734.0,3408.5714285714284,4328.125,1125.8,7149.0625
2020-01-01,2630.733333333333,1796.2857142857142,3487.909090909091,4629.333333333333,846.25,7846.583333333333
2020-04-01,2741.9333333333334,1951.0,3477.4545454545455,4508.181818181818,1135.75,7754.5
2020-07-01,2568.7391304347825,1806.8181818181818,3603.125,4648.692307692308,971.6,8023.615384615385
2020-10-01,2590.2916666666665,1669.5555555555557,3728.4615384615386,4776.375,1019.9285714285714,7789.6
2021-01-01,2779.9333333333334,1804.0,3785.909090909091,4893.45,995.6666666666666,7832.64705882353
2021-04-01,2778.823529411765,1804.0,3774.0714285714284,5019.692307692308,1032.3333333333333,8234.90909090909
