,Postal code,Building type,2020Q1 Price per square meter (EUR/m2),2020Q2 Price per square meter (EUR/m2),2020Q3 Price per square meter (EUR/m2),2020Q4 Price per square meter (EUR/m2),2021Q1* Price per square meter (EUR/m2),2021Q2* Price per square meter (EUR/m2),label6,label8,label10,Location
991,02610,"Blocks of flats, two-room flat",3845.181818181818,3834.1363636363635,3823.090909090909,3812.0454545454545,3801.0,3801.0,0,4,2,Kilo   (Espoo )
997,02620,"Blocks of flats, two-room flat",2932.0,3068.6666666666665,3205.3333333333335,3342.0,3342.0,3342.0,0,4,2,Karakallio   (Espoo )
1009,02650,"Blocks of flats, two-room flat",3987.0,3931.0,4213.5,4496.0,4267.0,4366.0,2,7,9,Pohjois-Leppävaara   (Espoo )
1027,02700,"Blocks of flats, two-room flat",3852.0,3936.0,4020.0,4104.0,4104.0,4104.0,0,4,2,Kauniainen   (Kauniainen )
1033,02710,"Blocks of flats, two-room flat",2196.0,2196.0,2196.0,2196.0,2196.0,2196.0,5,0,5,Viherlaakso   (Espoo )
1057,02750,"Blocks of flats, two-room flat",3485.0,3485.0,3485.0,3485.0,3485.0,3485.0,0,4,2,Sepänkylä-Kuurinniitty   (Espoo )
1063,02760,"Blocks of flats, two-room flat",2468.0,2564.6666666666665,2661.3333333333335,2758.0,2675.5,2593.0,5,6,6,Tuomarila-Suvela   (Espoo )
1069,02770,"Blocks of flats, two-room flat",3013.5555555555557,3053.6666666666665,3093.777777777778,3133.8888888888887,3174.0,3174.0,0,4,2,Espoon Keskus   (Espoo )
1075,02780,"Blocks of flats, two-room flat",,,,,2861.0,2861.0,0,4,2,Kauklahti   (Espoo )
1129,03100,"Blocks of flats, two-room flat",2086.0,1933.0,1780.0,1907.5,2035.0,2035.0,5,0,8,Nummela   (Vihti )
1159,03400,"Blocks of flats, two-room flat",1693.0,1693.0,1693.0,1693.0,1693.0,1693.0,1,1,0,Vihti Kirkonkylä   (Vihti )
1165,03600,"Blocks of flats, two-room flat",906.0,965.5,1025.0,1303.0,1241.5,1180.0,3,3,7,Karkkila Keskus   (Karkkila )
1189,04130,"Blocks of flats, two-room flat",2419.0,2685.0,2469.3333333333335,2253.6666666666665,2038.0,2737.0,5,6,6,Sipoo   (Sipoo )
1195,04200,"Blocks of flats, two-room flat",2362.0,2423.0,2439.0,2459.0,2529.0,2599.0,5,6,6,Kerava Keskus   (Kerava )
1201,04220,"Blocks of flats, two-room flat",2757.0,2757.0,2757.0,2757.0,2757.0,2757.0,5,6,6,Ahjo-Kaskela   (Kerava )
1207,04230,"Blocks of flats, two-room flat",1890.857142857143,1884.4285714285713,1878.0,1878.0,1878.0,1878.0,5,0,8,Pihkaniitty   (Kerava )
1219,04250,"Blocks of flats, two-room flat",2429.0,2377.25,2325.5,2273.75,2222.0,2222.0,5,6,6,Alikerava   (Kerava )
