,0,1,2,3,4,5
2010-01-01,2548.230769230769,1325.9583333333333,3453.5555555555557,1000.2941176470588,4573.642857142857,1909.86301369863
2010-04-01,2556.4324324324325,1435.1764705882354,3409.3684210526317,972.7027027027027,4646.153846153846,1958.3650793650793
2010-07-01,2471.90625,1416.0196078431372,3444.4117647058824,981.578947368421,4726.882352941177,1949.0684931506848
2010-10-01,2524.1470588235293,1381.14,3525.9333333333334,985.0263157894736,4673.714285714285,1952.0338983050847
2011-01-01,2580.764705882353,1391.5576923076924,3438.5625,1018.95,4982.785714285715,1976.553846153846
2011-04-01,2611.0,1394.0,3728.5882352941176,998.0571428571428,5092.307692307692,2006.9850746268658
2011-07-01,2637.527777777778,1414.245283018868,3727.375,1042.34375,4960.692307692308,2050.3333333333335
2011-10-01,2584.1290322580644,1353.75,3707.866666666667,1028.1081081081081,4987.6875,2003.135593220339
2012-01-01,2646.8823529411766,1475.1363636363637,3734.0714285714284,986.3684210526316,5138.0,2022.7457627118645
2012-04-01,2689.5,1450.2692307692307,3812.8125,1018.1142857142858,5102.8125,2078.5263157894738
2012-07-01,2734.1136363636365,1444.1081081081081,3818.818181818182,1049.78,5192.64705882353,2050.3296703296705
2012-10-01,2767.5,1442.642857142857,3971.4347826086955,1028.6346153846155,5169.294117647059,2066.851063829787
2013-01-01,2770.3125,1451.7083333333333,4031.866666666667,1009.6818181818181,5321.214285714285,2051.507692307692
2013-04-01,2756.7894736842104,1484.2830188679245,4022.125,1070.030303030303,5409.9375,2090.609375
2013-07-01,2725.633333333333,1445.290909090909,4086.3333333333335,1003.6666666666666,5603.2,2092.557142857143
2013-10-01,2795.0666666666666,1413.5625,4084.0,1097.5,5558.571428571428,2110.633333333333
2014-01-01,2774.0,1396.8085106382978,4054.6470588235293,1043.8333333333333,5551.333333333333,2128.2181818181816
2014-04-01,2920.733333333333,1445.0212765957447,4166.071428571428,1013.0769230769231,5561.6,2069.6964285714284
2014-07-01,2786.34375,1489.7021276595744,4206.0625,1007.1,5500.071428571428,2086.705882352941
2014-10-01,2807.4411764705883,1426.820512820513,4211.4,1050.3478260869565,5421.0,2081.3571428571427
2015-01-01,2881.3684210526317,1489.0408163265306,4176.375,1040.76,5540.733333333334,2129.0588235294117
2015-04-01,2880.1935483870966,1509.5897435897436,4176.529411764706,996.95,5516.466666666666,2189.0172413793102
2015-07-01,2981.6285714285714,1400.04,4215.105263157895,957.5,5737.2,2095.1857142857143
2015-10-01,2872.6129032258063,1438.7674418604652,4257.666666666667,986.9130434782609,5581.0625,2102.3898305084745
2016-01-01,2873.4193548387098,1467.4473684210527,4236.705882352941,1052.3333333333333,5644.142857142857,2119.7903225806454
2016-04-01,2922.40625,1352.6052631578948,4328.7,932.5925925925926,5813.0,2127.7457627118642
2016-07-01,3026.032258064516,1438.6136363636363,4261.846153846154,994.2424242424242,5718.8,2092.222222222222
2016-10-01,2910.8571428571427,1414.2558139534883,4418.466666666666,1008.5,5869.866666666667,2073.3166666666666
2017-01-01,2985.366666666667,1392.2173913043478,4507.35294117647,957.2727272727273,6008.266666666666,2086.813559322034
2017-04-01,3030.5333333333333,1447.3076923076924,4553.35294117647,1009.7,6118.928571428572,2154.378787878788
2017-07-01,2961.09375,1427.862745098039,4654.1875,993.2631578947369,6144.428571428572,2147.5846153846155
2017-10-01,2955.103448275862,1380.921052631579,4670.166666666667,1053.0555555555557,6215.5,2149.873015873016
2018-01-01,3175.8846153846152,1431.0,4506.615384615385,937.3,6301.785714285715,2144.75
2018-04-01,3086.9,1468.6,4560.375,975.9375,6604.785714285715,2173.935483870968
2018-07-01,3176.366666666667,1395.5681818181818,4813.933333333333,886.0,6594.2,2147.5967741935483
2018-10-01,3103.78125,1437.6279069767443,4729.888888888889,951.95,6620.642857142857,2129.2203389830506
2019-01-01,3200.935483870968,1433.45,4781.153846153846,970.0,6801.923076923077,2100.0178571428573
2019-04-01,3164.7241379310344,1428.3142857142857,4755.263157894737,934.2857142857143,6669.125,2176.0877192982457
2019-07-01,3246.1290322580644,1392.5588235294117,4805.25,874.0833333333334,6694.071428571428,2140.5555555555557
2019-10-01,3151.366666666667,1361.7142857142858,4747.75,914.578947368421,6618.533333333334,2069.4655172413795
2020-01-01,3246.5882352941176,1476.030303030303,4871.166666666667,871.2727272727273,6909.8125,2182.8985507246375
2020-04-01,3394.633333333333,1365.5454545454545,4936.0,874.75,7225.461538461538,2214.403846153846
2020-07-01,3364.0,1366.862745098039,5152.166666666667,894.25,7098.333333333333,2178.3823529411766
2020-10-01,3393.7631578947367,1385.3829787234042,5191.0625,826.8095238095239,7275.9375,2168.6774193548385
2021-01-01,3505.2894736842104,1389.6923076923076,5211.086956521739,832.36,7558.705882352941,2243.4202898550725
2021-04-01,3486.2162162162163,1471.3333333333333,5333.428571428572,872.0,7698.384615384615,2284.7083333333335
