postal code,rmse,mae
70870,56.916034735707406,48.068512557813165
70900,56.916034735707406,48.068512557813165
70910,56.916034735707406,48.068512557813165
71160,56.916034735707406,48.068512557813165
71200,56.916034735707406,48.068512557813165
71210,56.916034735707406,48.068512557813165
71240,56.916034735707406,48.068512557813165
71280,56.916034735707406,48.068512557813165
71310,56.916034735707406,48.068512557813165
71470,56.916034735707406,48.068512557813165
71480,56.916034735707406,48.068512557813165
71570,56.916034735707406,48.068512557813165
71730,56.916034735707406,48.068512557813165
71750,56.916034735707406,48.068512557813165
71760,56.916034735707406,48.068512557813165
71775,56.916034735707406,48.068512557813165
71800,41.24095203111075,31.66366975313349
71840,56.916034735707406,48.068512557813165
71850,56.916034735707406,48.068512557813165
71870,56.916034735707406,48.068512557813165
71910,56.916034735707406,48.068512557813165
71960,56.916034735707406,48.068512557813165
72100,56.916034735707406,48.068512557813165
72210,56.916034735707406,48.068512557813165
72300,56.916034735707406,48.068512557813165
72360,56.916034735707406,48.068512557813165
72400,56.916034735707406,48.068512557813165
72550,56.916034735707406,48.068512557813165
72600,56.916034735707406,48.068512557813165
72950,56.916034735707406,48.068512557813165
73100,56.916034735707406,48.068512557813165
73200,56.916034735707406,48.068512557813165
73230,56.916034735707406,48.068512557813165
73250,56.916034735707406,48.068512557813165
73300,56.916034735707406,48.068512557813165
73310,56.916034735707406,48.068512557813165
73460,56.916034735707406,48.068512557813165
73500,56.916034735707406,48.068512557813165
73600,56.916034735707406,48.068512557813165
73670,56.916034735707406,48.068512557813165
73770,56.916034735707406,48.068512557813165
73850,56.916034735707406,48.068512557813165
73900,56.916034735707406,48.068512557813165
74100,181.33637239031242,156.28507559845127
74120,71.79521888267729,56.825337726364864
74130,56.916034735707406,48.068512557813165
74200,56.916034735707406,48.068512557813165
74250,56.916034735707406,48.068512557813165
74300,56.916034735707406,48.068512557813165
74340,56.916034735707406,48.068512557813165
74380,56.916034735707406,48.068512557813165
74510,56.916034735707406,48.068512557813165
74550,56.916034735707406,48.068512557813165
74700,56.916034735707406,48.068512557813165
74940,56.916034735707406,48.068512557813165
75500,56.916034735707406,48.068512557813165
75530,56.916034735707406,48.068512557813165
75680,56.916034735707406,48.068512557813165
75700,56.916034735707406,48.068512557813165
76100,144.548699568649,140.26964624592097
76120,56.916034735707406,48.068512557813165
76130,56.916034735707406,48.068512557813165
76150,56.916034735707406,48.068512557813165
76850,56.916034735707406,48.068512557813165
76940,56.916034735707406,48.068512557813165
77240,56.916034735707406,48.068512557813165
77330,56.916034735707406,48.068512557813165
77570,56.916034735707406,48.068512557813165
77580,56.916034735707406,48.068512557813165
77600,26.17357762790234,22.800962804366463
77700,56.916034735707406,48.068512557813165
77800,56.916034735707406,48.068512557813165
78200,343.9704507688245,292.82809741988933
78210,56.916034735707406,48.068512557813165
78250,425.4621736659239,409.6171948875222
78300,56.916034735707406,48.068512557813165
78310,56.916034735707406,48.068512557813165
78400,56.916034735707406,48.068512557813165
78500,56.916034735707406,48.068512557813165
78710,56.916034735707406,48.068512557813165
78850,56.916034735707406,48.068512557813165
78870,56.916034735707406,48.068512557813165
78880,56.916034735707406,48.068512557813165
79100,56.916034735707406,48.068512557813165
79130,56.916034735707406,48.068512557813165
79255,56.916034735707406,48.068512557813165
79480,56.916034735707406,48.068512557813165
79520,56.916034735707406,48.068512557813165
79600,56.916034735707406,48.068512557813165
79700,56.916034735707406,48.068512557813165
79810,56.916034735707406,48.068512557813165
79940,56.916034735707406,48.068512557813165
80100,225.8613300325815,207.83601542806718
80110,184.9043525297014,172.01401546638454
80130,56.916034735707406,48.068512557813165
80140,56.916034735707406,48.068512557813165
80160,145.42333575861153,129.97340222642686
80170,56.916034735707406,48.068512557813165
80200,59.5835014204404,48.14273318752464
80220,216.50447831126525,184.44656870783353
80230,56.916034735707406,48.068512557813165
80260,56.916034735707406,48.068512557813165
80330,56.916034735707406,48.068512557813165
80400,56.916034735707406,48.068512557813165
80510,56.916034735707406,48.068512557813165
80710,56.916034735707406,48.068512557813165
80770,56.916034735707406,48.068512557813165
80780,56.916034735707406,48.068512557813165
80790,56.916034735707406,48.068512557813165
80850,56.916034735707406,48.068512557813165
80910,56.916034735707406,48.068512557813165
81100,56.916034735707406,48.068512557813165
81160,56.916034735707406,48.068512557813165
81200,56.916034735707406,48.068512557813165
81210,56.916034735707406,48.068512557813165
81220,56.916034735707406,48.068512557813165
81230,56.916034735707406,48.068512557813165
81235,56.916034735707406,48.068512557813165
81280,56.916034735707406,48.068512557813165
81290,56.916034735707406,48.068512557813165
81390,56.916034735707406,48.068512557813165
81590,56.916034735707406,48.068512557813165
81650,56.916034735707406,48.068512557813165
81700,39.76027579380023,25.536431555757304
81720,56.916034735707406,48.068512557813165
81750,56.916034735707406,48.068512557813165
81970,56.916034735707406,48.068512557813165
82110,56.916034735707406,48.068512557813165
82120,56.916034735707406,48.068512557813165
82140,56.916034735707406,48.068512557813165
82200,56.916034735707406,48.068512557813165
82220,56.916034735707406,48.068512557813165
82290,56.916034735707406,48.068512557813165
82300,56.916034735707406,48.068512557813165
82350,56.916034735707406,48.068512557813165
82430,56.916034735707406,48.068512557813165
82490,56.916034735707406,48.068512557813165
82500,56.916034735707406,48.068512557813165
82600,56.916034735707406,48.068512557813165
82655,56.916034735707406,48.068512557813165
82710,56.916034735707406,48.068512557813165
82730,56.916034735707406,48.068512557813165
82750,56.916034735707406,48.068512557813165
82760,56.916034735707406,48.068512557813165
82900,56.916034735707406,48.068512557813165
83100,56.916034735707406,48.068512557813165
83130,56.916034735707406,48.068512557813165
83330,56.916034735707406,48.068512557813165
83400,56.916034735707406,48.068512557813165
83430,56.916034735707406,48.068512557813165
83500,61.40740339080294,59.29030395451434
83700,56.916034735707406,48.068512557813165
83720,56.916034735707406,48.068512557813165
83750,56.916034735707406,48.068512557813165
83870,56.916034735707406,48.068512557813165
83900,56.916034735707406,48.068512557813165
83940,56.916034735707406,48.068512557813165
83950,56.916034735707406,48.068512557813165
83960,56.916034735707406,48.068512557813165
84100,98.26588411561049,94.34404677738473
84880,56.916034735707406,48.068512557813165
85100,56.916034735707406,48.068512557813165
85140,56.916034735707406,48.068512557813165
85160,56.916034735707406,48.068512557813165
85200,56.916034735707406,48.068512557813165
85230,56.916034735707406,48.068512557813165
85310,56.916034735707406,48.068512557813165
