,postal code,rmse,mae,mpe,parameter
0,00670,452.6623180361733,438.5104321729506,0.10587080825404431,0.1
1,00730,186.66520194653515,132.0321919691039,0.03952104463384895,0.1
2,00740,260.0186355456553,205.47201731751625,0.06263019285852785,0.01
3,00750,124.63999780323542,122.964894819439,0.041243306741678615,0.1
4,00780,467.94746462453617,371.7471696362801,0.09892298922733511,0.001
5,00840,433.9598645866806,365.34175420859765,0.08752523477156876,0.01
6,00940,161.448384812887,130.04483723199814,0.04896407105361272,0.1
7,00980,241.68700101281797,212.25195984208835,0.0651663095768347,0.001
8,01200,297.4494747963531,228.99088773015,0.0782123935571887,0.001
9,01260,380.4748580255357,355.3377938107649,0.1210293202421708,0.001
10,01280,159.3829591540962,151.95644841109345,0.050294134179124796,0.001
11,01300,179.4486300793161,136.5877428854434,0.04095320094657128,0.1
12,01350,408.9296843236743,361.6533879569156,0.10889966138026441,0.1
13,01370,270.33780311655534,230.14484398218383,0.07750672309510488,0.001
14,01450,156.97150539206424,117.89167678004969,0.03801007304428945,0.1
15,01520,85.09561776332234,74.26049255479211,0.017798042036989436,0.1
16,01620,246.49459747298636,228.77591210906155,0.08259413764347164,0.1
17,01630,267.4862781414194,224.2487228375901,0.06697493052003582,0.001
18,01690,370.2793980087173,316.4627757582275,0.07967042990614419,0.1
19,01800,195.33280688597296,187.37485023074055,0.07360338619206118,0.1
20,01820,150.7136319337031,143.97862418667205,0.06105658487265517,0.001
21,01900,248.10578937648754,193.13044001737683,0.08892394537328348,0.001
22,02130,311.52992447551645,272.78718963899746,0.06228897502837659,0.1
23,02170,455.9317641234948,367.1418280436624,0.07851599596913697,0.01
24,02180,32.973930141529834,31.477881767971894,0.008454752121493731,0.1
25,02200,236.46617967977613,183.69830300323963,0.046836057868845954,0.1
26,02210,166.9551772832347,149.72470572800046,0.0430156046428788,0.1
27,02230,520.8582856088982,413.3754026575216,0.0854254591852184,0.01
28,02320,113.80529898473667,90.80902221220856,0.02648429612097572,0.1
29,02330,179.66217500827483,163.73761941791759,0.04187554984329371,0.01
30,02340,255.3417095467983,219.48091462254774,0.06281730428062088,0.001
31,02360,281.2027853762114,217.11975574057988,0.055803238072657024,0.1
32,02400,156.74949520876348,120.18139650476371,0.044452797210157644,0.01
33,02610,472.7978468156895,408.9019963351542,0.09317880674702889,0.1
34,02700,512.1636872416028,454.87667078895174,0.11003415974914853,0.1
35,02710,96.85434096356575,70.82948948247088,0.02053922495847993,0.1
36,02750,256.6128190164669,230.82499252004376,0.06055090657654864,0.1
37,02760,224.73888942282736,201.68496217127654,0.06382773385948169,0.01
38,02770,686.6783224071746,594.0075460049566,0.1546708206668953,0.01
39,02880,264.4318729723252,215.09199744183493,0.0780727514348324,0.001
40,02920,253.14535530676855,190.89313564269276,0.05765333962502115,0.1
41,02940,192.61947350642524,167.3625549877013,0.051761947824432795,0.01
42,03100,144.99513120905846,129.47423540520242,0.063250640996815,0.1
43,04200,144.29460001853843,131.60951070976648,0.05199892654877135,0.01
44,04230,231.4964397598571,200.45454811034188,0.08818103538711722,0.01
45,04260,228.4215421166476,172.55408675078036,0.06556058766677131,0.001
46,04300,198.42910533338764,149.00243785370378,0.05421701990697672,0.01
47,04320,292.2467109569294,230.0936980097572,0.08406690970555981,0.001
48,04400,270.8593677985356,264.50833299106944,0.09409250524553388,0.1
49,04410,71.7654892786636,64.6123004044365,0.02669792304370074,0.1
50,04600,208.59443276685815,202.7740238440639,0.10788251070518104,0.1
51,05830,71.08800967992403,66.69075054837442,0.030382337614541205,0.001
52,06100,200.76056538338125,154.02398816381594,0.04952657948781551,0.01
53,06150,185.25260650959353,166.0289712755845,0.06886203805317515,0.1
54,06400,134.39294632572856,94.21587127883124,0.04034978081276879,0.001
55,11130,167.80386050109277,131.68002606927598,0.06530465480110455,0.001
56,13100,307.40467074712143,285.26632680709645,0.16158357415016383,0.1
57,13210,181.7013581853078,110.35126505017519,0.05550084347773194,0.1
58,13300,163.68136462882583,129.9652611570324,0.07315993358061017,0.1
59,13500,53.54150190304802,45.02362702485865,0.02538074350666969,0.1
60,14200,117.07958782124017,84.79297771561505,0.06053799259211348,0.001
61,16300,141.62344724933888,115.02301970426083,0.09183168033628156,0.01
62,20100,584.9294370193581,380.9049001166934,0.07904832257618125,0.1
63,20300,152.57796381541453,137.71365686014087,0.049433829367613126,0.1
64,20320,144.06362070664667,104.74588371238178,0.04092086404838212,0.1
65,20540,376.37696800855855,350.76257865193134,0.12699506868134042,0.1
66,20610,150.4218073889505,130.85566013866105,0.07779285782945258,0.01
67,20740,103.32812850572826,97.88581925247536,0.04610503536998809,0.01
68,20750,178.5474345439474,153.69227580908932,0.07588819406700407,0.001
69,20780,154.4053863833546,126.18330612587727,0.05331841911074196,0.01
70,20810,550.3157846364119,473.0157964088347,0.10783475205384563,0.1
71,21110,159.9182537509675,137.30655169629745,0.0615725801937179,0.1
72,21200,120.89797906140406,114.933003052917,0.058444516909413574,0.1
73,21420,243.2976953347904,171.81636871733429,0.07081422332924746,0.1
74,21530,117.49289304775593,107.80759831602563,0.06411698946056751,0.1
75,21600,161.58097285674924,156.09470088424655,0.08652791026890651,0.001
76,23500,180.0845339842357,134.73059027477126,0.09194348327988092,0.1
77,23800,85.06373841133073,62.30149341180663,0.047557279521973875,0.001
78,24100,187.72730066488978,127.04209616746476,0.0863723531374415,0.001
79,24280,129.24373217447487,117.23221102302637,0.0845413996173527,0.01
80,24800,91.04649441697617,87.94719106016339,0.062168588416661466,0.1
81,26100,199.0235489985617,157.62780878473842,0.08001205433406779,0.01
82,26200,70.68001576712473,58.325182812489935,0.03639914608742743,0.1
83,26660,50.89155768496969,43.74699517879154,0.033172735889013566,0.01
84,28220,173.05358223791418,166.04169429070618,0.10968326958294222,0.1
85,28300,39.033205720921615,39.033205720921615,0.022536492910462825,0.01
86,28660,84.42415962080496,76.71901428640042,0.05775813228951008,0.1
87,30100,42.339668394612126,35.78399451157308,0.029668088875141083,0.1
88,32200,87.81519547190477,87.70112418949049,0.07577793430284634,0.1
89,32700,189.28584301564445,177.5377158550335,0.16659955870111545,0.001
90,33270,153.1546410826454,132.0927334916339,0.04880354421354226,0.001
91,33300,362.5429956371339,353.7626877554311,0.12367872256014013,0.1
92,33400,240.19718769959388,192.73975841106244,0.07379700872727218,0.001
93,33430,100.39271239240658,96.96732225556495,0.05041276863541666,0.001
94,33450,107.45364173713973,79.592843846436,0.03585386020435969,0.1
95,33470,66.90012096294849,50.186664362277384,0.024799102705185018,0.001
96,33560,127.39116019021584,112.05994224529672,0.043745074092252215,0.01
97,33580,218.92280266372413,206.3754274084821,0.07967149204215204,0.1
98,33610,175.2265131262905,160.47633446137388,0.06679865236328089,0.01
99,33710,63.862234320149454,59.99957623498972,0.024946014572681714,0.1
100,33720,206.3066823753921,166.90991434375337,0.06872099552431793,0.1
101,33820,216.65794453428722,176.38759904165897,0.06327137984125268,0.001
102,33950,226.93693081281216,186.89742052764132,0.06579084678153291,0.01
103,33960,106.6629818021224,96.63385777503868,0.0394222558407703,0.1
104,36200,154.5537345644234,134.7114287728415,0.06557258458654004,0.1
105,36220,84.92215063938872,73.06985667987858,0.035505062621855016,0.01
106,36240,169.12432405416172,123.58994995402827,0.05719251673619623,0.1
107,37120,112.8721908212048,108.46879832946638,0.05269880590245815,0.001
108,37500,209.1718661200921,185.72759240706307,0.08145140126034561,0.01
109,37630,100.99787303376189,89.07805029343899,0.06490071980036595,0.1
110,37800,214.71852235031906,200.17358746083733,0.16145838195629875,0.001
111,39160,190.2708484644603,171.17912090119046,0.07119592179458573,0.1
112,40250,133.6055703505046,131.61154044323362,0.06956782361507854,0.1
113,40270,238.35084594335396,214.37353840133278,0.11222596127503445,0.001
114,40520,65.68227029198877,54.996843844993236,0.025905599165931572,0.01
115,40800,133.7354975429113,100.50094682035706,0.058172222356080834,0.01
116,42100,177.3335797550888,148.71786046479377,0.14516885053139894,0.001
117,45160,147.6600864695114,132.08972392516307,0.11486862435863118,0.001
118,45700,170.49547535082263,139.71812392419065,0.12744645379720973,0.01
119,49400,183.34253705599497,169.8145405208062,0.11626475371667896,0.001
120,50100,264.77985968443147,207.4896025737155,0.1458245554327562,0.001
121,53850,171.05725801382886,141.36368909412727,0.08357755644124726,0.1
122,55100,274.1160522206216,180.81950694722514,0.19810334215917114,0.1
123,60200,43.306620014922174,39.59317257089765,0.01954769346699124,0.1
124,65320,125.47833940280232,100.11516241203492,0.06324928659396514,0.1
125,67100,329.5409660392575,297.8064087455807,0.20311204823673373,0.1
126,68600,54.90710171793921,54.90710171793921,0.03574681101428334,0.001
127,70150,108.77697598460611,99.6991240267605,0.059203607327139446,0.1
128,70820,61.47410498486312,53.04864989286614,0.02469697790448971,0.001
129,71800,188.71665261166817,182.47192292660097,0.13137119867371677,0.1
130,74120,191.16085966087672,176.38467958181172,0.1406042732802358,0.1
131,80160,53.47969250701022,47.61915005039788,0.03855432946007521,0.1
132,84100,101.66978999101713,85.19926459488329,0.06138465786273905,0.1
133,90150,101.45088776591679,81.79636518125858,0.045542669735940074,0.01
134,90230,76.1045148811458,58.78968160842055,0.026563724686043635,0.01
135,90410,110.8594334060226,110.41973831704058,0.058102392286899535,0.01
136,90420,210.70195952031878,188.52561054391185,0.08382899429833594,0.1
137,90440,82.08881280243986,70.01066488605346,0.04256652047830594,0.001
138,90570,147.90363114295698,143.6443409450948,0.08242694381602071,0.001
139,90650,153.35589492220743,127.4448076646645,0.06921867638051296,0.01
140,90940,92.11213856650728,78.6558676599293,0.06789821297539116,0.1
141,93600,258.7702401349174,221.44140674750804,0.19112912686499361,0.001
