,postal code,rmse,mae,mpe,parameter
0,00100,645.8044455346209,518.3797372943968,0.06479776209914936,0.1
1,00120,272.9420201065387,240.82438123137308,0.028735662772726378,0.1
2,00140,510.6182952773223,368.2518121687008,0.038059773098535477,0.1
3,00150,846.9513729224975,749.2410688425787,0.08349704499424974,0.1
4,00160,599.2526199593296,475.7686735697587,0.06367588913057184,0.1
5,00170,306.17312095294074,275.3152152587893,0.035860125267768064,0.1
6,00180,583.2172521500959,581.84903695204,0.0733130700914764,0.1
7,00200,204.98826904004417,193.4125093249272,0.02927442504069392,0.1
8,00210,388.49560632055693,361.9689421562284,0.0515210324088856,0.1
9,00250,277.65394255667525,221.82847058152674,0.03299153322680515,0.1
10,00260,379.2605465015668,358.9307094778176,0.04961890793028969,0.1
11,00270,349.05562428565287,271.9384218723508,0.04595412500771674,0.001
12,00320,318.17558821848866,265.83430259028023,0.04925490256724736,0.1
13,00330,345.5322231728963,288.34421675140607,0.044160726671576195,0.1
14,00350,253.03928620635412,195.65177119935447,0.03845213383900499,0.1
15,00390,429.39509873861954,381.33078345890647,0.1046101361440083,0.001
16,00400,141.2578334981689,115.92887324016328,0.028319290231905842,0.1
17,00420,286.691764131454,243.55575877340925,0.0854385428178822,0.001
18,00440,363.7862317687143,280.51460121725995,0.07122911276063632,0.001
19,00500,273.24534139187085,233.64787553652818,0.041174226233078155,0.1
20,00520,469.5004399142365,394.2979101634528,0.07505974517719,0.1
21,00530,313.34911097223403,230.30374846706877,0.036844900931656765,0.1
22,00560,517.8128924270751,350.2145432053496,0.053022271058869926,0.1
23,00570,530.7751273568804,440.540861212158,0.07010147213543136,0.1
24,00610,102.98576191395934,97.05218668632074,0.017146367344404178,0.1
25,00630,359.0342738307971,297.9025503781956,0.08998128594073727,0.1
26,00640,578.0843556188399,563.7338222506369,0.13968275028949753,0.1
27,00700,158.01920397022204,157.093551349049,0.052022513959063654,0.001
28,00710,162.87916797787543,124.59028648932576,0.04658619553575519,0.1
29,00720,144.94181040569433,121.81437944948198,0.039832935037937174,0.1
30,00740,346.58373083241054,327.29933860003746,0.15261944071208244,0.001
31,00790,111.82054496869185,87.8181639156907,0.019819336738581998,0.1
32,00810,300.85229262784435,291.1317358098013,0.05535886460120165,0.1
33,00820,418.1943782095029,391.53564850029414,0.09479773021258753,0.1
34,00840,61.97862305616998,35.203813279250994,0.010554336516356958,0.1
35,00900,64.84785982679544,56.80966752131769,0.021036519637029516,0.1
36,00910,233.60079900424674,194.3735832372629,0.05937213418547796,0.001
37,00920,68.87988031402315,54.72346465451881,0.01996034353793509,0.1
38,00940,187.3235194460719,168.14044982251073,0.07233340743440239,0.1
39,00960,47.45123934678895,47.45123934678895,0.017568026414953333,0.001
40,00970,194.99205351005796,172.01929222563456,0.08363779611456416,0.1
41,00980,221.03904148651932,183.96936307632075,0.05818252066206861,0.1
42,00990,119.80691084867385,97.12016111287357,0.02007941598773847,0.01
43,01200,192.79519795965842,177.84536150920655,0.11485767880088338,0.1
44,01300,162.35401640632563,145.63067964435618,0.04301106991353016,0.1
45,01350,70.42810099199897,62.49969368837378,0.02615764194152238,0.1
