,postal code,rmse,mae,mpe,parameter
0,00100,957.5629896044667,769.8265969403756,0.08993723909776381,0.1
1,00120,128.81869484226263,128.81869484226263,0.0141062959748426,0.1
2,00140,63.85936906180151,50.89827135201085,0.005547974650004929,0.001
3,00150,580.5221509652371,530.4183882788266,0.057462657054395946,0.001
4,00170,561.8569380025995,422.1155976597852,0.04766641816837091,0.01
5,00180,371.278126225324,324.5805220574736,0.0353058097910757,0.01
6,00250,482.9101979316764,445.9847388547321,0.05751103693730493,0.01
7,00260,254.88853488200974,222.1300662960169,0.02638084040233411,0.1
8,00270,363.9169764397827,217.338030115822,0.025745692209709747,0.001
9,00400,672.7947622477568,625.9985992338061,0.09958711223984922,0.001
10,00500,256.7881650490514,195.7315932200288,0.026156254312483827,0.01
11,00510,491.71312882282547,326.38676229284556,0.04743786716921992,0.1
12,00520,553.5115130301083,539.2219684426173,0.07628937763261184,0.001
13,00530,264.82895268648014,248.32520560604212,0.03303003636182713,0.1
14,01300,891.4127854973445,744.524328511158,0.14444549280809474,0.1
15,02230,526.1003945113258,482.8947841210211,0.09595134285409708,0.1
16,02320,291.1687031304842,284.924403656923,0.07299061747015191,0.1
17,04400,255.89716937312787,225.28771976292944,0.06738080411414743,0.01
18,06100,158.04638504450614,112.51854289772473,0.03443772877819809,0.001
19,13100,163.18338290626323,129.4778225957591,0.051767676971902404,0.001
20,20100,54.49790827934155,42.67510478285499,0.009869369559893735,0.001
21,20320,344.28292656844405,323.639751810778,0.13484337808198696,0.01
22,20810,74.9526355892508,62.84984016598423,0.014380443542919018,0.1
23,21200,84.78109730725156,63.71693463975392,0.030491935438553608,0.1
24,24100,155.6107021572512,138.67216937909308,0.0868691504825948,0.001
25,26100,99.95668980452483,78.15174735284427,0.05307349696383948,0.001
26,33200,529.2563192180683,360.88039498107383,0.06792906452199261,0.1
27,33710,224.33916964742434,188.23694626138536,0.058258100580874675,0.1
28,33720,184.05762469673272,136.52740206446902,0.05491570905520873,0.001
29,40100,272.64044785714594,208.67018354644506,0.06902958807812387,0.1
30,48100,65.3534309825848,63.10022976681006,0.04024695197751702,0.1
31,50100,158.0561816580021,146.20636874501875,0.06108664137311904,0.1
32,90100,170.49998198154458,160.29999561681916,0.04834898137070115,0.01
33,90120,200.69875400017511,192.55585388163354,0.06412616385896737,0.001
34,90500,219.81776240050658,219.81776240050658,0.0808450762782297,0.001
