,Postal code,Building type,2020Q1 Price per square meter (EUR/m2),2020Q2 Price per square meter (EUR/m2),2020Q3 Price per square meter (EUR/m2),2020Q4 Price per square meter (EUR/m2),2021Q1* Price per square meter (EUR/m2),2021Q2* Price per square meter (EUR/m2),label6,label8,label10,Location
4298,33870,"Blocks of flats, three-room flat+",3284.0,3330.0,3353.0,3191.0,3352.0,3513.0,3,3,3,Vuores   (Lempäälä )
4310,33900,"Blocks of flats, three-room flat+",2750.0,3280.0,3104.0,3016.0,3196.0,3331.0,3,3,3,Härmälä-Rantaperkiö   (Tampere )
4322,33950,"Blocks of flats, three-room flat+",2647.0,1684.0,2009.0,2334.0,2018.0,2060.0,2,5,5,Killo   (Pirkkala )
4328,33960,"Blocks of flats, three-room flat+",1981.0,2109.0,2237.0,2290.0,1802.0,1797.0,2,5,5,Suuppa   (Pirkkala )
4412,35300,"Blocks of flats, three-room flat+",1009.0,1009.0,1009.0,1009.0,1009.0,1009.0,5,1,9,Orivesi Keskus   (Orivesi )
4472,35800,"Blocks of flats, three-room flat+",642.3,635.0,635.0,635.0,635.0,635.0,5,1,1,Mänttä   (Mänttä-Vilppula )
4502,36200,"Blocks of flats, three-room flat+",2019.0,1783.0,1547.0,1692.0,1558.0,2368.0,4,4,4,Kangasala Keskus   (Kangasala )
4508,36220,"Blocks of flats, three-room flat+",1483.5,1461.0,1438.5,1416.0,1553.0,1435.0,4,0,0,Suorama   (Kangasala )
4514,36240,"Blocks of flats, three-room flat+",1378.625,1393.75,1408.875,1424.0,1711.0,1711.0,4,4,4,Nattari   (Kangasala )
4592,37100,"Blocks of flats, three-room flat+",1513.0,1369.0,1510.0,1550.0,1590.0,1842.0,4,4,4,Nokia Keskus   (Nokia )
4598,37120,"Blocks of flats, three-room flat+",1847.6666666666667,1819.3333333333333,1791.0,1735.5,1680.0,1680.0,4,4,4,Koskenmäki   (Nokia )
4616,37150,"Blocks of flats, three-room flat+",1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,5,1,8,Kankaantaka   (Nokia )
4622,37200,"Blocks of flats, three-room flat+",645.0,645.0,645.0,645.0,645.0,645.0,5,1,1,Siuro   (Nokia )
4658,37500,"Blocks of flats, three-room flat+",1643.25,1708.5,1773.75,1839.0,1839.0,1839.0,4,4,4,Lempäälä Keskus   (Lempäälä )
4682,37600,"Blocks of flats, three-room flat+",1110.5,920.0,1198.0,943.0,1139.5,1336.0,5,1,8,Valkeakoski Keskus   (Valkeakoski )
4688,37630,"Blocks of flats, three-room flat+",917.0,899.5,882.0,910.6666666666666,939.3333333333334,968.0,5,1,9,Vääräkoivu   (Valkeakoski )
4700,37800,"Blocks of flats, three-room flat+",938.6,990.2,1041.8,1093.4,1145.0,1145.0,5,1,8,Toijala keskus   (Akaa )
4742,38200,"Blocks of flats, three-room flat+",1703.0,1478.5,1254.0,1302.0,1383.5,1465.0,4,0,0,Vammala Keskus   (Sastamala )
4808,38710,"Blocks of flats, three-room flat+",489.0,489.0,489.0,489.0,489.0,489.0,5,1,1,Myllymäki   (Kankaanpää )
4874,39500,"Blocks of flats, three-room flat+",851.0,851.0,851.0,851.0,851.0,851.0,5,1,9,Ikaalinen Keskus   (Ikaalinen )
4904,40100,"Blocks of flats, three-room flat+",2672.0,2571.0,2743.0,2617.0,2447.0,2778.0,2,5,5,Jyväskylä Keskus   (Jyväskylä )
4910,40200,"Blocks of flats, three-room flat+",2113.3333333333335,2003.0,2302.0,2601.0,2202.0,2805.0,2,5,5,Mannila-Taulumäki   (Jyväskylä )
4916,40250,"Blocks of flats, three-room flat+",1378.5714285714284,1336.9285714285713,1295.2857142857142,1253.642857142857,1212.0,1212.0,4,0,0,Ritoniemi-Lohikoski   (Jyväskylä )
4922,40270,"Blocks of flats, three-room flat+",1401.0,1401.0,1401.0,1401.0,1401.0,1401.0,4,0,0,Pappilanrinne-Pappilanvuori   (Jyväskylä )
4928,40320,"Blocks of flats, three-room flat+",1430.0,1539.0,1589.5,1640.0,1661.0,1528.0,4,4,4,Seppälän Teollisuusalue   (Jyväskylä )
4934,40340,"Blocks of flats, three-room flat+",726.0,770.5,815.0,629.0,665.0,842.0,5,1,1,Huhtasuo   (Jyväskylä )
4946,40420,"Blocks of flats, three-room flat+",874.0,874.0,874.0,874.0,874.0,874.0,5,1,9,Jyskä   (Jyväskylä )
4958,40520,"Blocks of flats, three-room flat+",2360.0,1878.0,1952.0,2025.0,2248.0,2248.0,2,5,5,Kuokkala-Ristikivi   (Jyväskylä )
4970,40600,"Blocks of flats, three-room flat+",2335.0,2335.0,2335.0,2335.0,2335.0,2335.0,2,5,5,Mattilanpelto   (Jyväskylä )
4988,40640,"Blocks of flats, three-room flat+",988.3333333333334,1075.0,1162.0,1019.5,877.0,856.0,5,1,9,Keltinmäki   (Jyväskylä )
4994,40700,"Blocks of flats, three-room flat+",2274.0,2378.5,2483.0,2321.5,2160.0,2024.0,2,5,5,Mäki-Matti   (Jyväskylä )
5000,40720,"Blocks of flats, three-room flat+",2211.0,2197.0,2221.5,2246.0,2270.5,2295.0,2,5,5,Nisula   (Jyväskylä )
5006,40740,"Blocks of flats, three-room flat+",1279.0,1175.0,1196.0,1541.0,1166.0,1338.0,4,0,0,Kortepohja   (Jyväskylä )
5012,40800,"Blocks of flats, three-room flat+",913.0,913.0,913.0,913.0,913.0,913.0,5,1,9,Vaajakoski   (Jyväskylä )
5018,40820,"Blocks of flats, three-room flat+",686.0,686.0,686.0,686.0,686.0,686.0,5,1,1,Vuoritsalo   (Jyväskylä )
5102,41330,"Blocks of flats, three-room flat+",518.0,518.0,518.0,518.0,518.0,518.0,5,1,1,Vihtavuori   (Laukaa )
5216,42100,"Blocks of flats, three-room flat+",699.0,699.0,699.0,699.0,699.0,699.0,5,1,1,Jämsä Keskus   (Jämsä )
5228,42300,"Blocks of flats, three-room flat+",463.0,463.0,463.0,463.0,463.0,463.0,5,1,1,Jämsänkoski Keskus   (Jämsä )
5246,42700,"Blocks of flats, three-room flat+",529.6666666666666,581.3333333333334,633.0,684.6666666666666,736.3333333333333,788.0,5,1,1,Keuruu Keskus   (Keuruu )
5330,44100,"Blocks of flats, three-room flat+",1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,5,1,8,Äänekoski Keskus   (Äänekoski )
5354,44200,"Blocks of flats, three-room flat+",459.0,459.0,459.0,459.0,459.0,459.0,5,1,1,Suolahti Keskus   (Äänekoski )
5432,45100,"Blocks of flats, three-room flat+",1147.0,906.0,1231.0,1311.0,1159.0,1543.0,4,0,0,Kouvola Keskus   (Kouvola )
5450,45150,"Blocks of flats, three-room flat+",827.0,827.0,827.0,827.0,827.0,827.0,5,1,9,Kankaronmäki-Eskolanmäki   (Kouvola )
5456,45160,"Blocks of flats, three-room flat+",700.0,700.0,700.0,700.0,700.0,700.0,5,1,1,Lehtomäki   (Kouvola )
5462,45200,"Blocks of flats, three-room flat+",842.1818181818182,818.4545454545455,794.7272727272727,771.0,1023.0,1023.0,5,1,9,Tornionmäki   (Kouvola )
5498,45700,"Blocks of flats, three-room flat+",671.0,669.0,669.0,669.0,669.0,669.0,5,1,1,Kuusankoski Keskus   (Kouvola )
5552,46800,"Blocks of flats, three-room flat+",805.0,805.0,805.0,805.0,805.0,805.0,5,1,9,Myllykoski   (Kouvola )
5612,48100,"Blocks of flats, three-room flat+",1444.0,1541.0,1590.0,1416.0,1551.0,1533.0,4,4,4,Kotkansaari   (Kotka )
5660,48350,"Blocks of flats, three-room flat+",762.0,762.0,762.0,762.0,762.0,762.0,5,1,1,Karhuvuori   (Kotka )
5678,48600,"Blocks of flats, three-room flat+",1023.6666666666666,1035.3333333333333,1047.0,950.0,927.5,905.0,5,1,9,Karhula   (Kotka )
5768,49400,"Blocks of flats, three-room flat+",957.0,1021.0,1085.0,1149.0,1213.0,1277.0,5,1,8,Hamina Keskus   (Hamina )
5846,50100,"Blocks of flats, three-room flat+",1805.0,1805.0,1743.0,1732.0,1524.0,1956.0,4,4,4,Mikkeli Keskus   (Mikkeli )
5852,50120,"Blocks of flats, three-room flat+",1061.0,1061.0,1061.0,1061.0,1061.0,1061.0,5,1,8,Siekkilä   (Mikkeli )
5870,50160,"Blocks of flats, three-room flat+",653.0,653.0,653.0,653.0,653.0,653.0,5,1,1,Kattilansilta   (Mikkeli )
5876,50170,"Blocks of flats, three-room flat+",1356.875,1350.25,1343.625,1337.0,1337.0,1337.0,4,0,0,Peitsari   (Mikkeli )
5888,50190,"Blocks of flats, three-room flat+",719.0,719.0,719.0,719.0,719.0,719.0,5,1,1,Tuppurala   (Mikkeli )
6020,53100,"Blocks of flats, three-room flat+",2160.0,2127.0,2094.0,2089.0,2084.0,2357.0,2,5,5,Lappeenranta keskus   (Lappeenranta )
6032,53200,"Blocks of flats, three-room flat+",1301.0,1301.0,1301.0,1301.0,1301.0,1301.0,4,0,0,Kaukas-Tirilä   (Lappeenranta )
6068,53600,"Blocks of flats, three-room flat+",2337.4545454545455,2345.090909090909,2352.7272727272725,2360.3636363636365,2368.0,2368.0,2,5,5,Kesämäki   (Lappeenranta )
