,0,1,2,3,4,5
2010-01-01,4821.75,3276.923076923077,1965.581818181818,2535.7,1473.4117647058824,1042.0526315789473
2010-04-01,4847.0625,3488.8823529411766,2058.3207547169814,2626.5757575757575,1527.016393442623,1024.5581395348838
2010-07-01,4775.714285714285,3642.8125,2033.8297872340424,2607.0666666666666,1553.1224489795918,1059.9705882352941
2010-10-01,4806.733333333334,3504.4375,1993.6078431372548,2691.0,1562.6785714285713,1021.6486486486486
2011-01-01,5041.285714285715,3642.8823529411766,2091.5283018867926,2737.8387096774195,1577.32,1102.675
2011-04-01,5268.866666666667,3669.5789473684213,2130.5471698113206,2741.7272727272725,1582.6346153846155,1124.975
2011-07-01,5002.0,3591.5625,2135.9333333333334,2654.40625,1577.3673469387754,1147.5526315789473
2011-10-01,4902.4,3557.5714285714284,2069.8372093023254,2625.7586206896553,1589.1666666666667,1061.9583333333333
2012-01-01,5208.0,3693.0555555555557,2128.25,2704.214285714286,1594.537037037037,1065.4285714285713
2012-04-01,5154.933333333333,3651.25,2156.4561403508774,2749.4,1560.357142857143,1145.1666666666667
2012-07-01,5350.428571428572,3721.0,2173.3214285714284,2791.030303030303,1600.4516129032259,1138.0
2012-10-01,5217.0,3849.55,2120.8076923076924,2691.8285714285716,1604.2181818181818,1066.3243243243244
2013-01-01,5409.928571428572,3896.3125,2119.0185185185187,2787.75,1591.7692307692307,1076.5333333333333
2013-04-01,5422.2,3851.8947368421054,2172.901960784314,2743.733333333333,1660.6041666666667,1164.3703703703704
2013-07-01,5407.0,3940.6428571428573,2204.24,2862.8214285714284,1597.2884615384614,1102.6785714285713
2013-10-01,5359.2,4010.6666666666665,2169.4285714285716,2828.4285714285716,1575.8936170212767,1057.7692307692307
2014-01-01,5343.285714285715,4053.470588235294,2148.56,2776.5384615384614,1617.4545454545455,1074.92
2014-04-01,5471.666666666667,3957.277777777778,2207.8490566037735,2842.59375,1583.4130434782608,1050.1363636363637
2014-07-01,5396.142857142857,4055.0,2211.088888888889,2847.1666666666665,1624.840909090909,1141.2105263157894
2014-10-01,5344.571428571428,3896.9285714285716,2147.9,2835.2580645161293,1591.775,1053.875
2015-01-01,5432.125,4051.9333333333334,2219.311111111111,2851.735294117647,1641.1136363636363,1029.4705882352941
2015-04-01,5357.4375,4159.5625,2197.3584905660377,2879.848484848485,1615.5686274509803,1089.7142857142858
2015-07-01,5474.5,3994.9333333333334,2204.7966101694915,2879.6666666666665,1617.1836734693877,1075.6470588235295
2015-10-01,5648.866666666667,4069.235294117647,2189.590909090909,2843.5625,1553.7755102040817,1010.4285714285714
2016-01-01,5653.3125,4183.866666666667,2213.204081632653,2891.878787878788,1579.1702127659576,1014.5416666666666
2016-04-01,5466.1875,4281.944444444444,2201.7118644067796,2943.1388888888887,1632.66,1152.7333333333333
2016-07-01,5780.866666666667,4278.466666666666,2161.9622641509436,2938.310344827586,1624.1224489795918,1078.904761904762
2016-10-01,5754.0,4294.928571428572,2196.125,2917.03125,1548.7857142857142,1018.7777777777778
2017-01-01,5723.0,4205.666666666667,2165.4736842105262,2984.060606060606,1597.2272727272727,1056.5238095238096
2017-04-01,5987.875,4280.7692307692305,2231.019230769231,3004.676470588235,1579.3023255813953,970.4090909090909
2017-07-01,5897.6875,4419.0625,2186.877192982456,3075.2580645161293,1555.9636363636364,1004.6666666666666
2017-10-01,6058.5,4479.866666666667,2184.169811320755,3093.735294117647,1566.046511627907,1077.3333333333333
2018-01-01,6012.75,4547.823529411765,2193.735849056604,3063.757575757576,1577.1632653061224,1039.4545454545455
2018-04-01,6253.1875,4578.176470588235,2242.9285714285716,3175.6875,1583.875,907.1153846153846
2018-07-01,6228.375,4581.666666666667,2267.685185185185,3121.7241379310344,1535.7173913043478,1121.4375
2018-10-01,6362.4,4833.733333333334,2198.3529411764707,3164.5625,1622.659090909091,1071.8125
2019-01-01,6536.1875,4667.125,2221.217391304348,3233.2258064516127,1580.4883720930231,1102.7857142857142
2019-04-01,6599.8125,4804.263157894737,2301.285714285714,3261.8064516129034,1616.1960784313726,990.3846153846154
2019-07-01,6596.333333333333,4699.578947368421,2259.8070175438597,3210.266666666667,1554.2363636363636,1006.5882352941177
2019-10-01,6609.6,4933.727272727273,2203.127659574468,3154.516129032258,1597.6666666666667,1005.4285714285714
2020-01-01,6740.866666666667,5008.357142857143,2288.0588235294117,3274.233333333333,1532.4772727272727,996.3529411764706
2020-04-01,7019.857142857143,4943.6,2295.931818181818,3388.88,1546.0263157894738,940.5833333333334
2020-07-01,6910.933333333333,5136.875,2283.7169811320755,3361.5789473684213,1545.8301886792453,1079.4
2020-10-01,7080.3125,5025.111111111111,2321.7936507936506,3443.4285714285716,1519.2413793103449,1003.1428571428571
2021-01-01,7444.5,5165.117647058823,2362.5806451612902,3489.8888888888887,1578.921568627451,965.35
2021-04-01,7385.6,5492.333333333333,2435.581818181818,3592.909090909091,1630.14,1006.8333333333334
